input,lon,lat,status,distance_to_nature_m,date,quarter,house_id,house_type,sales_type,year_build,purchase_price,%_change_between_offer_and_purchase,no_rooms,sqm,sqm_price,address,zip_code,city,area,region,nom_interest_rate%,dk_ann_infl_rate%,yield_on_mortgage_credit_bonds%,Efficiency_Era,full_address,city_median_sqm_price,Price_Deviation_%,Nature_Proximity
"Tybjergvej 20, 2720 Vanløse",12.47485698,55.69288225,success,3370.252849212474,2024-05-21,2024Q2,11148,Villa,regular_sale,1934,7250000,1.0,5,158.0,45886.074,Tybjergvej 20,2720,Vanløse,"Capital, Copenhagen",Zealand,3.6,1.13,4.34,G/F (Pre-Insulation),"Tybjergvej 20, 2720 Vanløse",30000.0,52.953580729166674,Close (1-5km)
"Lundevej 95, 1. th, 4400 Kalundborg",11.07215969,55.68143514,success,45449.66318696724,2024-03-24,2024Q1,25074,Apartment,regular_sale,1907,3175000,0.0,2,71.0,44718.31,"Lundevej 95, 1. th",4400,Kalundborg,Other islands,Zealand,3.6,1.13,4.34,G/F (Pre-Insulation),"Lundevej 95, 1. th, 4400 Kalundborg",9974.5908203125,348.32223596264765,Distant (>10km)
"Drostrupgårdvej 12, 6600 Vejen",9.13944795,55.52140431,success,21183.91615749336,2022-04-02,2022Q2,190843,Farm,family_sale,1913,26040000,0.0,10,373.0,69812.336,Drostrupgårdvej 12,6600,Vejen,South jutland,Jutland,0.0,7.7,3.73,G/F (Pre-Insulation),"Drostrupgårdvej 12, 6600 Vejen",8537.16064453125,717.7465417875264,Distant (>10km)
"Gaabensevej 250, 4800 Nykøbing F",11.8705618,54.81207648,success,71420.59881845496,2022-03-29,2022Q1,192111,Villa,regular_sale,1937,1165000,-3.0,4,141.0,8262.411,Gaabensevej 250,4800,Nykøbing F,Other islands,Zealand,0.0,7.7,3.73,G/F (Pre-Insulation),"Gaabensevej 250, 4800 Nykøbing F",9230.76953125,-10.490548974917026,Distant (>10km)
"Nejedevej 17, 3400 Hillerød",12.21022749,55.95115928,success,2985.667063564332,2022-04-17,2022Q2,187229,Farm,regular_sale,1897,6250000,-4.0,8,232.0,26939.654,Nejedevej 17,3400,Hillerød,North Zealand,Zealand,0.0,7.7,3.73,G/F (Pre-Insulation),"Nejedevej 17, 3400 Hillerød",20338.982421875,32.4533043890182,Close (1-5km)
"Knudsvej 19, 3700 Rønne",14.70270361,55.10433707,success,154371.8540776769,2024-04-04,2024Q2,22735,Townhouse,regular_sale,1890,975000,-11.0,3,89.0,10955.057,Knudsvej 19,3700,Rønne,Bornholm,Bornholm,3.6,1.13,4.34,G/F (Pre-Insulation),"Knudsvej 19, 3700 Rønne",8424.00927734375,30.045638364721,
"Lollandsgade 41, 1, 8000 Aarhus C",10.20144376,56.16056838,success,70297.43877977904,2022-09-15,2022Q3,152449,Apartment,family_sale,1896,2242000,0.0,3,78.0,28743.59,"Lollandsgade 41, 1",8000,Aarhus C,East & mid jutland,Jutland,0.0,7.7,3.73,G/F (Pre-Insulation),"Lollandsgade 41, 1, 8000 Aarhus C",35833.33203125,-19.785327753827318,Distant (>10km)
"Hasselbakken 101, 8500 Grenaa",10.85728247,56.42036545,success,78629.7087618017,2024-08-21,2024Q3,146856,Townhouse,regular_sale,1982,1550000,0.0,4,149.0,10402.685,Hasselbakken 101,8500,Grenaa,East & mid jutland,Jutland,3.35,1.13,4.34,D (Standard),"Hasselbakken 101, 8500 Grenaa",8103.4482421875,28.373554805408723,Distant (>10km)
"Strandvej 32, st. th, 4220 Korsør",11.13121891,55.33684607,success,34774.20918171882,2022-10-24,2022Q4,143181,Apartment,regular_sale,1906,1210000,-19.0,4,111.0,10900.901,"Strandvej 32, st. th",4220,Korsør,Other islands,Zealand,0.65,7.7,3.73,G/F (Pre-Insulation),"Strandvej 32, st. th, 4220 Korsør",9354.1728515625,16.535171416750526,Distant (>10km)
"Krokusvej 14, 4683 Rønnede",12.03636591,55.25419587,success,41248.288713405,2023-01-11,2023Q1,130240,Townhouse,regular_sale,2023,1600000,0.0,4,112.0,14285.714,Krokusvej 14,4683,Rønnede,Other islands,Zealand,1.75,3.31,4.79,B/A (High Efficiency),"Krokusvej 14, 4683 Rønnede",9540.49560546875,49.73764946758869,Distant (>10km)
"Fyrtårnsvej 18, 6320 Egernsund",9.62040128,54.90565733,success,14420.878818492643,2022-02-27,2022Q1,200443,Villa,regular_sale,1962,640000,-2.0,4,96.0,6666.6665,Fyrtårnsvej 18,6320,Egernsund,South jutland,Jutland,0.0,7.7,3.73,E (Minimal),"Fyrtårnsvej 18, 6320 Egernsund",8184.680419921875,-18.547015132328344,Distant (>10km)
"Lærkevej 18, 4560 Vig",11.5415508,55.87982092,success,43934.7099271972,2023-02-26,2023Q1,120975,Summerhouse,regular_sale,1938,1225000,-11.0,3,60.0,20416.666,Lærkevej 18,4560,Vig,Other islands,Zealand,1.75,3.31,4.79,G/F (Pre-Insulation),"Lærkevej 18, 4560 Vig",11086.9560546875,84.15032868280336,Distant (>10km)
"Søglimt 19, 6340 Kruså",9.39644497,54.8505319,success,11503.866392902151,2023-08-14,2023Q3,78723,Villa,regular_sale,1961,400000,0.0,3,83.0,4819.2773,Søglimt 19,6340,Kruså,South jutland,Jutland,3.1,3.31,4.79,E (Minimal),"Søglimt 19, 6340 Kruså",6762.634765625,-28.7366904945575,Distant (>10km)
"Johannes Hansens Vej 6. mf, 9830 Tårs",10.10983212,57.38598037,success,34905.22770028054,2022-05-22,2022Q2,177593,Apartment,regular_sale,1924,1550000,0.0,1,40.0,38750.0,Johannes Hansens Vej 6. mf,9830,Tårs,North jutland,Jutland,0.0,7.7,3.73,G/F (Pre-Insulation),"Johannes Hansens Vej 6. mf, 9830 Tårs",5524.86181640625,601.37500787677,Distant (>10km)
"Birkevej 4, 7330 Brande",9.13369326,55.94509888,success,47067.23307681068,2024-03-13,2024Q1,27898,Villa,regular_sale,1951,1800000,0.0,5,151.0,11920.53,Birkevej 4,7330,Brande,South jutland,Jutland,3.6,1.13,4.34,G/F (Pre-Insulation),"Birkevej 4, 7330 Brande",8456.3759765625,40.964998558202375,Distant (>10km)
"Mådevej 13, 6700 Esbjerg",8.48324097,55.46242232,success,42348.51277634473,2023-04-26,2023Q2,107527,Villa,regular_sale,1885,1100000,-15.0,4,142.0,7746.479,Mådevej 13,6700,Esbjerg,South jutland,Jutland,2.6,3.31,4.79,G/F (Pre-Insulation),"Mådevej 13, 6700 Esbjerg",15277.77734375,-49.295772352152625,Distant (>10km)
"Gammel Skovvej 2B, 3060 Espergærde",12.55149694,55.99472969,success,20586.11461949725,2023-02-16,2023Q1,123114,Villa,regular_sale,1902,7850000,-2.0,6,160.0,49062.5,Gammel Skovvej 2B,3060,Espergærde,North Zealand,Zealand,1.75,3.31,4.79,G/F (Pre-Insulation),"Gammel Skovvej 2B, 3060 Espergærde",21085.455078125,132.68409345786253,Distant (>10km)
"Drachmannsvej 37, 9990 Skagen",10.56570132,57.72205348,success,79719.24631992776,2022-12-05,2022Q4,136096,Villa,regular_sale,1957,1200000,-11.0,4,88.0,13636.363,Drachmannsvej 37,9990,Skagen,North jutland,Jutland,0.65,7.7,3.73,G/F (Pre-Insulation),"Drachmannsvej 37, 9990 Skagen",13888.888671875,-1.818182840909107,Distant (>10km)
"Parcelvej 53, 2840 Holte",12.45307965,55.8000401,success,1851.0138014128183,2024-01-23,2024Q1,39291,Villa,regular_sale,1929,7825000,-6.0,9,297.0,26346.8,Parcelvej 53,2840,Holte,"Capital, Copenhagen",Zealand,3.6,1.13,4.34,G/F (Pre-Insulation),"Parcelvej 53, 2840 Holte",28056.5546875,-6.093955317370969,Close (1-5km)
"Golfsvinget 120, 9640 Farsø",9.38439661,56.87153402,success,23893.440032144503,2022-11-12,2022Q4,139898,Summerhouse,family_sale,1980,603500,0.0,4,91.0,6631.868,Golfsvinget 120,9640,Farsø,North jutland,Jutland,0.65,7.7,3.73,D (Standard),"Golfsvinget 120, 9640 Farsø",7083.33349609375,-6.373628070458914,Distant (>10km)
"Grønnehavevej 13A, 1. tv, 3000 Helsingør",12.61029878,56.04012631,success,24471.31166383193,2024-03-04,2024Q1,30272,Apartment,regular_sale,1905,1675000,0.0,2,58.0,28879.31,"Grønnehavevej 13A, 1. tv",3000,Helsingør,North Zealand,Zealand,3.6,1.13,4.34,G/F (Pre-Insulation),"Grønnehavevej 13A, 1. tv, 3000 Helsingør",20600.0,40.190827897451456,Distant (>10km)
"Lyøvej 11, 3450 Allerød",12.34186963,55.85513731,success,9837.063612608965,2023-12-03,2023Q4,53294,Villa,regular_sale,1978,5240000,-1.0,5,145.0,36137.93,Lyøvej 11,3450,Allerød,North Zealand,Zealand,3.6,3.31,4.79,D (Standard),"Lyøvej 11, 3450 Allerød",21500.0,68.08339389534885,Nearby (5-10km)
"Stenkisten 6, 7100 Vejle",9.5615464,55.68557671,success,44260.94930183057,2022-12-26,2022Q4,132331,Villa,regular_sale,1955,1100000,-15.0,3,91.0,12087.912,Stenkisten 6,7100,Vejle,South jutland,Jutland,0.65,7.7,3.73,G/F (Pre-Insulation),"Stenkisten 6, 7100 Vejle",13125.0,-7.901622023809524,Distant (>10km)
"Buddingevej 190, 1. 101, 2860 Søborg",12.49475155,55.75290198,success,354.3736360781424,2023-04-02,2023Q2,112787,Apartment,regular_sale,1971,1200000,-9.0,2,47.0,25531.914,"Buddingevej 190, 1. 101",2860,Søborg,"Capital, Copenhagen",Zealand,2.6,3.31,4.79,E (Minimal),"Buddingevej 190, 1. 101, 2860 Søborg",25953.947265625,-1.626084844843492,Immediate (<1km)
"Eranthisvej 19, 6710 Esbjerg V",8.42890798,55.49471128,success,40445.570894978686,2024-03-05,2024Q1,30054,Villa,regular_sale,1970,2598000,0.0,4,121.0,21471.074,Eranthisvej 19,6710,Esbjerg V,South jutland,Jutland,3.6,1.13,4.34,E (Minimal),"Eranthisvej 19, 6710 Esbjerg V",11666.6669921875,84.03777388287462,Distant (>10km)
"Månestien 1, 2670 Greve",12.30875404,55.58640923,success,9505.004374316844,2022-05-12,2022Q2,179999,Villa,regular_sale,1976,4645000,-1.0,4,144.0,32256.945,Månestien 1,2670,Greve,"Capital, Copenhagen",Zealand,0.0,7.7,3.73,E (Minimal),"Månestien 1, 2670 Greve",19161.8212890625,68.33966263380272,Nearby (5-10km)
"Middelbanke 8, 9990 Skagen",10.54885555,57.72901094,success,79968.98900782397,2023-06-11,2023Q2,96394,Villa,regular_sale,1973,1350000,-8.0,7,186.0,7258.0645,Middelbanke 8,9990,Skagen,North jutland,Jutland,2.6,3.31,4.79,E (Minimal),"Middelbanke 8, 9990 Skagen",13888.888671875,-47.74193512096774,Distant (>10km)
"Dyrupgårdvænget 92, 5250 Odense SV",10.35399324,55.35476271,success,14970.026667126604,2024-01-27,2024Q1,38440,Villa,regular_sale,1986,3000000,-6.0,6,187.0,16042.78,Dyrupgårdvænget 92,5250,Odense SV,Fyn & islands,Fyn & islands,3.6,1.13,4.34,D (Standard),"Dyrupgårdvænget 92, 5250 Odense SV",13248.71142578125,21.089363016988568,Distant (>10km)
"Nordstensvej 2, 1. 1, 3400 Hillerød",12.30006312,55.92888427,success,7196.04548124393,2023-04-25,2023Q2,107915,Apartment,regular_sale,1984,3350000,-8.0,3,118.0,28389.83,"Nordstensvej 2, 1. 1",3400,Hillerød,North Zealand,Zealand,2.6,3.31,4.79,D (Standard),"Nordstensvej 2, 1. 1, 3400 Hillerød",20338.982421875,39.58333553398987,Nearby (5-10km)
"Skovtoften 58, 4800 Nykøbing F",11.84478523,54.76798053,success,70300.9337682111,2022-01-09,2022Q1,214162,Townhouse,regular_sale,1978,1150000,0.0,3,85.0,13529.412,Skovtoften 58,4800,Nykøbing F,Other islands,Zealand,0.0,7.7,3.73,D (Standard),"Skovtoften 58, 4800 Nykøbing F",9230.76953125,46.56862641378169,Distant (>10km)
"Kastetvej 15A, 3. 2, 9000 Aalborg",9.90940124,57.05242799,success,4521.32183963455,2024-09-22,2024Q3,40417,Apartment,regular_sale,1959,915000,-3.0,2,49.0,18673.469,"Kastetvej 15A, 3. 2",9000,Aalborg,North jutland,Jutland,3.35,1.13,4.34,G/F (Pre-Insulation),"Kastetvej 15A, 3. 2, 9000 Aalborg",19246.03125,-2.974963994200103,Close (1-5km)
"Samsøvej 25, 4000 Roskilde",12.09401511,55.61577132,success,4418.849036946132,2022-07-03,2022Q3,167393,Villa,regular_sale,1962,2650000,-5.0,3,109.0,24311.926,Samsøvej 25,4000,Roskilde,Other islands,Zealand,0.0,7.7,3.73,E (Minimal),"Samsøvej 25, 4000 Roskilde",21404.109375,13.585318385853185,Close (1-5km)
"Skov-Torupvej 2, 4683 Rønnede",12.03647546,55.2594089,success,40677.826640061605,2022-08-24,2022Q3,156890,Villa,regular_sale,2017,4400000,-5.0,6,193.0,22797.928,Skov-Torupvej 2,4683,Rønnede,Other islands,Zealand,0.0,7.7,3.73,B/A (High Efficiency),"Skov-Torupvej 2, 4683 Rønnede",9540.49560546875,138.95957481817715,Distant (>10km)
"Silkeborgvej 189, 8700 Horsens",9.76840962,55.89464879,success,54980.32298128599,2023-12-06,2023Q4,52238,Villa,regular_sale,1940,750000,0.0,3,55.0,13636.363,Silkeborgvej 189,8700,Horsens,East & mid jutland,Jutland,3.6,3.31,4.79,G/F (Pre-Insulation),"Silkeborgvej 189, 8700 Horsens",12550.3359375,8.653372699809454,Distant (>10km)
"Tømrervej 8, 7130 Juelsminde",9.95641885,55.81350718,success,42590.29974585142,2023-11-14,2023Q4,58601,Villa,regular_sale,1900,800000,-20.0,7,208.0,3846.1538,Tømrervej 8,7130,Juelsminde,South jutland,Jutland,3.6,3.31,4.79,G/F (Pre-Insulation),"Tømrervej 8, 7130 Juelsminde",10488.7353515625,-63.33062395343219,Distant (>10km)
"Skolesvinget 20, 7400 Herning",8.89148881,56.12919648,success,23279.595400600352,2022-03-20,2022Q1,194726,Villa,regular_sale,1961,1780000,0.0,6,136.0,13088.235,Skolesvinget 20,7400,Herning,South jutland,Jutland,0.0,7.7,3.73,E (Minimal),"Skolesvinget 20, 7400 Herning",10933.69970703125,19.705458374219937,Distant (>10km)
"Grønningen 19, 1. th, 7200 Grindsted",8.9133679,55.76452411,success,39538.16610110699,2024-02-26,2024Q1,31986,Apartment,regular_sale,1968,675000,0.0,3,88.0,7670.4546,"Grønningen 19, 1. th",7200,Grindsted,South jutland,Jutland,3.6,1.13,4.34,E (Minimal),"Grønningen 19, 1. th, 7200 Grindsted",7890.919921875,-2.793911663202687,Distant (>10km)
"Metavang 33, 2670 Greve",12.29819061,55.58308517,success,9078.800809913648,2023-04-25,2023Q2,107705,Villa,regular_sale,1973,3530000,-9.0,4,136.0,25955.883,Metavang 33,2670,Greve,"Capital, Copenhagen",Zealand,2.6,3.31,4.79,E (Minimal),"Metavang 33, 2670 Greve",19161.8212890625,35.456240933191076,Nearby (5-10km)
"Hovedgaden 83, 6360 Tinglev",9.24432351,54.93367562,success,10891.751213561904,2022-01-09,2022Q1,214176,Villa,regular_sale,1820,1095000,0.0,5,192.0,5703.125,Hovedgaden 83,6360,Tinglev,South jutland,Jutland,0.0,7.7,3.73,G/F (Pre-Insulation),"Hovedgaden 83, 6360 Tinglev",5633.802734375,1.2304702328682164,Distant (>10km)
"Marbækvej 8, 2. 3, 2750 Ballerup",12.37495473,55.71959296,success,3244.340575559994,2022-08-29,2022Q3,156158,Apartment,regular_sale,2008,2795000,0.0,2,77.0,36298.703,"Marbækvej 8, 2. 3",2750,Ballerup,"Capital, Copenhagen",Zealand,0.0,7.7,3.73,C (Modern),"Marbækvej 8, 2. 3, 2750 Ballerup",20833.333984375,74.23376955519471,Close (1-5km)
"P Dovns Slippe 1, 6760 Ribe",8.76316122,55.32819613,success,22077.158057165616,2023-01-22,2023Q1,128352,Apartment,regular_sale,1876,2800000,0.0,2,38.0,73684.21,P Dovns Slippe 1,6760,Ribe,South jutland,Jutland,1.75,3.31,4.79,G/F (Pre-Insulation),"P Dovns Slippe 1, 6760 Ribe",8682.48486328125,748.6534914574393,Distant (>10km)
"Højbovej 1, 9240 Nibe",9.68598702,56.90862659,success,11500.437455654675,2023-12-18,2023Q4,48566,Villa,regular_sale,1991,650000,-6.0,4,120.0,5416.6665,Højbovej 1,9240,Nibe,North jutland,Jutland,3.6,3.31,4.79,D (Standard),"Højbovej 1, 9240 Nibe",8329.9287109375,-34.973435045200695,Distant (>10km)
"Vesterlundvej 7, st. tv, 8600 Silkeborg",9.55936639,56.12948381,success,48355.787294056354,2022-01-27,2022Q1,208958,Apartment,regular_sale,1827,3300000,0.0,2,98.0,33673.47,"Vesterlundvej 7, st. tv",8600,Silkeborg,East & mid jutland,Jutland,0.0,7.7,3.73,G/F (Pre-Insulation),"Vesterlundvej 7, st. tv, 8600 Silkeborg",14794.48193359375,127.60829950752002,Distant (>10km)
"Præsthøjvej 6, 3300 Frederiksværk",12.03233797,55.9466335,success,12365.5814022731,2022-04-07,2022Q2,189274,Summerhouse,regular_sale,1962,1150000,-11.0,1,26.0,44230.77,Præsthøjvej 6,3300,Frederiksværk,North Zealand,Zealand,0.0,7.7,3.73,E (Minimal),"Præsthøjvej 6, 3300 Frederiksværk",13568.66015625,225.9774290306505,Distant (>10km)
"Anders Billes Vej 21, 7000 Fredericia",9.74573762,55.56755022,success,27236.46906485628,2023-05-27,2023Q2,99958,Townhouse,regular_sale,1921,2000001,0.0,4,110.0,18181.828,Anders Billes Vej 21,7000,Fredericia,South jutland,Jutland,2.6,3.31,4.79,G/F (Pre-Insulation),"Anders Billes Vej 21, 7000 Fredericia",11223.40234375,61.99925448743227,Distant (>10km)
"Høje Støvring 115, 9530 Støvring",9.83362748,56.86461789,success,3720.831635191007,2023-11-20,2023Q4,56981,Villa,regular_sale,2023,3050000,0.0,5,165.0,18484.848,Høje Støvring 115,9530,Støvring,North jutland,Jutland,3.6,3.31,4.79,B/A (High Efficiency),"Høje Støvring 115, 9530 Støvring",10511.36328125,75.85585391404912,Close (1-5km)
"Vollerup Vang 12, 4400 Kalundborg",11.06321574,55.73148937,success,49356.80898501754,2022-12-15,2022Q4,134115,Summerhouse,family_sale,2007,816000,0.0,4,68.0,12000.0,Vollerup Vang 12,4400,Kalundborg,Other islands,Zealand,0.65,7.7,3.73,C (Modern),"Vollerup Vang 12, 4400 Kalundborg",9974.5908203125,20.305686881540115,Distant (>10km)
"Lønstrupvej 96, 2720 Vanløse",12.47670792,55.68364666,success,4299.154041901728,2022-04-05,2022Q2,189997,Villa,regular_sale,1936,9175000,0.0,4,157.0,58439.492,Lønstrupvej 96,2720,Vanløse,"Capital, Copenhagen",Zealand,0.0,7.7,3.73,G/F (Pre-Insulation),"Lønstrupvej 96, 2720 Vanløse",30000.0,94.79830729166666,Close (1-5km)
"Klitheden Nord 3B, 9492 Blokhus",9.62253795,57.24543393,success,27959.15549440389,2022-11-09,2022Q4,140381,Townhouse,regular_sale,2023,2960000,4.0,4,130.0,22769.23,Klitheden Nord 3B,9492,Blokhus,North jutland,Jutland,0.65,7.7,3.73,B/A (High Efficiency),"Klitheden Nord 3B, 9492 Blokhus",15399.275390625,47.859103049821364,Distant (>10km)
"Skovhøjen 19, 8800 Viborg",9.42075054,56.42321591,success,25839.43544714958,2022-08-23,2022Q3,157453,Villa,regular_sale,2018,4115000,0.0,5,180.0,22861.111,Skovhøjen 19,8800,Viborg,East & mid jutland,Jutland,0.0,7.7,3.73,B/A (High Efficiency),"Skovhøjen 19, 8800 Viborg",11069.1826171875,106.52935378108018,Distant (>10km)
"Vorupørvej 67, 7700 Thisted",8.5342631,56.93433999,success,14233.5430249644,2022-06-16,2022Q2,171412,Farm,regular_sale,1919,2221692,0.0,11,294.0,7556.7754,Vorupørvej 67,7700,Thisted,South jutland,Jutland,0.0,7.7,3.73,G/F (Pre-Insulation),"Vorupørvej 67, 7700 Thisted",8445.9462890625,-10.527783009808815,Distant (>10km)
"Holbækvej 14, st. tv, 4000 Roskilde",12.0689919,55.63438974,success,6278.220944742129,2024-06-22,2024Q2,2587,Apartment,regular_sale,1945,1280000,0.0,2,58.0,22068.965,"Holbækvej 14, st. tv",4000,Roskilde,Other islands,Zealand,3.6,1.13,4.34,G/F (Pre-Insulation),"Holbækvej 14, st. tv, 4000 Roskilde",21404.109375,3.106204781062048,Nearby (5-10km)
"Jonstrupvej 276, 3500 Værløse",12.33852212,55.75833537,success,4224.199060147469,2023-07-18,2023Q3,83983,Villa,regular_sale,1940,5850000,-2.0,5,168.0,34821.43,Jonstrupvej 276,3500,Værløse,North Zealand,Zealand,3.1,3.31,4.79,G/F (Pre-Insulation),"Jonstrupvej 276, 3500 Værløse",24581.005859375,41.65990556574146,Close (1-5km)
"Byvangen 20, 3550 Slangerup",12.16803239,55.85152836,success,14388.101100413614,2022-08-21,2022Q3,157988,Villa,regular_sale,1973,3350000,-1.0,6,175.0,19142.857,Byvangen 20,3550,Slangerup,North Zealand,Zealand,0.0,7.7,3.73,E (Minimal),"Byvangen 20, 3550 Slangerup",15853.658203125,20.747257046967547,Distant (>10km)
"Carl Plougs Vej 92, 6000 Kolding",9.46316051,55.47484115,success,27383.459555044537,2024-05-28,2024Q2,8964,Villa,regular_sale,1951,2335000,-3.0,3,117.0,19957.266,Carl Plougs Vej 92,6000,Kolding,South jutland,Jutland,3.6,1.13,4.34,G/F (Pre-Insulation),"Carl Plougs Vej 92, 6000 Kolding",13125.0,52.05535714285714,Distant (>10km)
"Gærdesmuttevej 5, 3450 Allerød",12.34759943,55.86410244,success,10529.425254972522,2022-06-20,2022Q2,170638,Villa,regular_sale,1963,5150000,-2.0,5,145.0,35517.242,Gærdesmuttevej 5,3450,Allerød,North Zealand,Zealand,0.0,7.7,3.73,E (Minimal),"Gærdesmuttevej 5, 3450 Allerød",21500.0,65.19647529069768,Distant (>10km)
"Serinedalen 41, 8340 Malling",10.1852391,56.02694565,success,65236.44834735862,2022-07-06,2022Q3,166726,Villa,regular_sale,2021,5225000,-1.0,6,195.0,26794.871,Serinedalen 41,8340,Malling,East & mid jutland,Jutland,0.0,7.7,3.73,B/A (High Efficiency),"Serinedalen 41, 8340 Malling",16302.3359375,64.36215764707799,Distant (>10km)
"Hessensgade 41, st. th, 2300 København S",12.61674355,55.66399895,success,10393.208224015763,2024-05-30,2024Q2,8420,Apartment,regular_sale,1962,1540000,-9.0,1,36.0,42777.777,"Hessensgade 41, st. th",2300,København S,"Capital, Copenhagen",Zealand,3.6,1.13,4.34,E (Minimal),"Hessensgade 41, st. th, 2300 København S",35377.359375,20.91851426870381,Distant (>10km)
"Valnøddevej 36, 3630 Jægerspris",11.99316637,55.85112309,success,20067.20729719445,2024-05-07,2024Q2,14262,Villa,regular_sale,1962,1620000,1.0,4,122.0,13278.688,Valnøddevej 36,3630,Jægerspris,North Zealand,Zealand,3.6,1.13,4.34,E (Minimal),"Valnøddevej 36, 3630 Jægerspris",11855.669921875,12.00285234039686,Distant (>10km)
"Sjællandsgade 14, 2. th, 4100 Ringsted",11.78839711,55.44079146,success,30820.86518540388,2022-07-03,2022Q3,167460,Apartment,regular_sale,1945,1645000,0.0,3,79.0,20822.785,"Sjællandsgade 14, 2. th",4100,Ringsted,Other islands,Zealand,0.0,7.7,3.73,G/F (Pre-Insulation),"Sjællandsgade 14, 2. th, 4100 Ringsted",12581.69921875,65.50057980418607,Distant (>10km)
"Ahornvej 49, 4220 Korsør",11.17966332,55.36393927,success,37549.74262971623,2023-10-03,2023Q4,69806,Villa,regular_sale,1972,1345000,0.0,4,130.0,10346.154,Ahornvej 49,4220,Korsør,Other islands,Zealand,3.6,3.31,4.79,E (Minimal),"Ahornvej 49, 4220 Korsør",9354.1728515625,10.604694408087633,Distant (>10km)
"Kongevejen 296, 3490 Kvistgård",12.50827109,55.99357073,success,17888.279424397988,2022-03-29,2022Q1,191853,Villa,regular_sale,1951,3100000,-6.0,6,175.0,17714.285,Kongevejen 296,3490,Kvistgård,North Zealand,Zealand,0.0,7.7,3.73,G/F (Pre-Insulation),"Kongevejen 296, 3490 Kvistgård",15954.54541015625,11.029707840961393,Distant (>10km)
"Hvidovrevej 275, 1. 14, 2650 Hvidovre",12.48014887,55.63755702,success,9177.300773660005,2023-02-19,2023Q1,122724,Apartment,regular_sale,1976,2750000,-8.0,3,101.0,27227.723,"Hvidovrevej 275, 1. 14",2650,Hvidovre,"Capital, Copenhagen",Zealand,1.75,3.31,4.79,E (Minimal),"Hvidovrevej 275, 1. 14, 2650 Hvidovre",21685.087890625,25.55966013871319,Nearby (5-10km)
"Ellegårdsvej 13, 4684 Holmegaard",11.80072831,55.27432267,success,44592.66089025249,2022-10-02,2022Q4,149241,Villa,regular_sale,2001,2525000,-3.0,7,219.0,11529.681,Ellegårdsvej 13,4684,Holmegaard,Other islands,Zealand,0.65,7.7,3.73,C (Modern),"Ellegårdsvej 13, 4684 Holmegaard",10121.6220703125,13.911392699396915,Distant (>10km)
"Fridlevs Vænge 36, 4330 Hvalsø",11.8774353,55.59276221,success,18275.626342931435,2023-06-27,2023Q2,91977,Townhouse,regular_sale,2023,3777302,0.0,4,94.0,40184.062,Fridlevs Vænge 36,4330,Hvalsø,Other islands,Zealand,2.6,3.31,4.79,B/A (High Efficiency),"Fridlevs Vænge 36, 4330 Hvalsø",13753.849609375,192.16592911274415,Distant (>10km)
"Tørholmsvej 106, 9800 Hjørring",9.99425185,57.46804178,success,43076.23979238341,2024-03-24,2024Q1,25035,Villa,regular_sale,1961,850000,-15.0,9,162.0,5246.9136,Tørholmsvej 106,9800,Hjørring,North jutland,Jutland,3.6,1.13,4.34,E (Minimal),"Tørholmsvej 106, 9800 Hjørring",9471.154296875,-44.60111819791633,Distant (>10km)
"Hans Jørgensvej 21, 6840 Oksbøl",8.27875989,55.62064688,success,25641.54778782913,2022-06-16,2022Q2,171407,Villa,regular_sale,2009,2225000,-1.0,5,146.0,15239.726,Hans Jørgensvej 21,6840,Oksbøl,South jutland,Jutland,0.0,7.7,3.73,C (Modern),"Hans Jørgensvej 21, 6840 Oksbøl",9062.5,68.16248922413793,Distant (>10km)
"Klintegårdsvej 74, 4736 Karrebæksminde",11.67030835,55.1639563,success,59402.65838684935,2023-10-09,2023Q4,68097,Summerhouse,family_sale,1969,1000000,0.0,4,77.0,12987.013,Klintegårdsvej 74,4736,Karrebæksminde,Other islands,Zealand,3.6,3.31,4.79,E (Minimal),"Klintegårdsvej 74, 4736 Karrebæksminde",15102.041015625,-14.004917071303355,Distant (>10km)
"Søvej 49B, 2791 Dragør",12.61916925,55.56781094,success,19998.746958961958,2022-07-25,2022Q3,163086,Townhouse,regular_sale,2013,6750000,-4.0,3,135.0,50000.0,Søvej 49B,2791,Dragør,"Capital, Copenhagen",Zealand,0.0,7.7,3.73,B/A (High Efficiency),"Søvej 49B, 2791 Dragør",23200.94921875,115.50842393806961,Distant (>10km)
"Mølleparken 4, 7500 Holstebro",8.6163177,56.34741836,success,10478.621075075038,2022-06-12,2022Q2,172704,Townhouse,regular_sale,1987,1940000,0.0,5,111.0,17477.477,Mølleparken 4,7500,Holstebro,South jutland,Jutland,0.0,7.7,3.73,D (Standard),"Mølleparken 4, 7500 Holstebro",10259.25341796875,70.35817179336622,Distant (>10km)
"Strandvænget 52, 8300 Odder",10.24664795,55.98209403,success,60645.41248039677,2022-01-18,2022Q1,211627,Summerhouse,regular_sale,2021,3550000,-4.0,4,120.0,29583.334,Strandvænget 52,8300,Odder,East & mid jutland,Jutland,0.0,7.7,3.73,B/A (High Efficiency),"Strandvænget 52, 8300 Odder",12500.0,136.666671875,Distant (>10km)
